employee_id,employee_name,restaurant_id,shift_start,shift_end,gender,workload,employee_satisfaction,burnout,avg_sale_per_hour,day_of_week,avg_traffic
51,Lori Sanders,1,07:00:00,16:00:00,Female,1.59,4,6,269.75,Tuesday,19
52,Peggy Quinn,1,07:00:00,16:00:00,Female,1.03,2,8,130.78,Monday,24
53,Bryan Schultz,1,14:00:00,23:00:00,Male,2.18,10,0,109.3,Friday,48
54,Steven Hood,1,13:00:00,22:00:00,Male,0.82,7,3,120.37,Monday,9
55,Richard Martin,2,06:00:00,15:00:00,Male,1.12,6,4,225.25,Monday,6
56,Amanda Klein,3,12:00:00,21:00:00,Female,28.07,5,5,204.64,Saturday,15
57,Pamela Rodriguez,1,06:00:00,15:00:00,Female,1.73,6,4,458.07,Wednesday,9
58,Debra Flowers,1,09:00:00,18:00:00,Female,0.86,8,2,432.45,Friday,10
59,Lindsey Hayes,1,11:00:00,20:00:00,Male,3.06,2,8,401.34,Sunday,18
60,Joseph Davis,3,09:00:00,18:00:00,Male,0.72,9,1,474.27,Tuesday,27
61,Mary Snyder,3,10:00:00,19:00:00,Female,3.17,4,6,413.01,Sunday,23
62,George Martinez III,3,12:00:00,21:00:00,Female,1.31,1,9,572.9,Wednesday,24
63,Clinton Ortiz,3,11:00:00,20:00:00,Female,1.45,1,9,272.11,Saturday,43
64,Angela Oconnor,1,07:00:00,16:00:00,Male,1.94,2,8,448.56,Tuesday,31
65,Mr. Ryan Anderson,3,05:00:00,14:00:00,Male,3.06,10,0,411.46,Sunday,45
66,Melissa Mendez,3,11:00:00,20:00:00,Female,11.62,4,6,284.75,Thursday,41
67,Scott Ibarra,1,06:00:00,15:00:00,Female,2.3,9,1,315.5,Thursday,15
68,Natalie Weaver,3,11:00:00,20:00:00,Female,0.57,1,9,325.93,Wednesday,25
69,Sarah Stephens,3,09:00:00,18:00:00,Male,1.86,7,3,170.77,Monday,49
70,Patrick Aguilar,1,10:00:00,19:00:00,Female,1.32,6,4,442.49,Sunday,20
71,Thomas Wiggins,2,07:00:00,16:00:00,Male,1.44,9,1,550.78,Monday,8
72,Donald Freeman,2,05:00:00,14:00:00,Male,1.23,4,6,591.86,Monday,46
73,Carolyn Elliott,1,06:00:00,15:00:00,Female,0.65,5,5,513.49,Friday,18
74,Donald Petersen,1,11:00:00,20:00:00,Female,0.76,9,1,271.68,Saturday,10
75,Jane Carroll,2,12:00:00,21:00:00,Female,5.3,10,0,457.13,Monday,41
76,Melissa Singleton,2,06:00:00,15:00:00,Female,5.36,5,5,484.21,Saturday,3
77,Donald Brooks,3,12:00:00,21:00:00,Female,5.95,4,6,173.14,Monday,33
78,Maria Velasquez,2,07:00:00,16:00:00,Male,2.58,1,9,499.35,Friday,50
79,Travis Garcia,1,15:00:00,00:00:00,Male,8.2,8,2,580.34,Monday,3
80,Ryan Clark,3,10:00:00,19:00:00,Female,0.72,2,8,264.03,Saturday,3
81,Christine Padilla,1,12:00:00,21:00:00,Female,1.72,9,1,323.76,Friday,37
82,Andrew Davis,1,11:00:00,20:00:00,Female,1.44,5,5,196.76,Saturday,7
83,James Abbott,2,12:00:00,21:00:00,Male,8.67,1,9,472.25,Monday,28
84,Sean Cox,1,08:00:00,17:00:00,Male,2.19,5,5,339.39,Thursday,13
85,Sabrina Mejia,3,07:00:00,16:00:00,Male,0.89,9,1,478.0,Monday,19
86,Anthony Simpson,3,08:00:00,17:00:00,Female,1.91,5,5,405.26,Saturday,22
87,Gwendolyn Camacho,2,07:00:00,16:00:00,Male,1.5,1,9,360.15,Monday,50
88,Jared Mack,3,12:00:00,21:00:00,Female,1.43,8,2,574.19,Tuesday,29
89,Michael Anderson,3,11:00:00,20:00:00,Female,3.43,2,8,358.05,Sunday,38
90,John Evans,3,06:00:00,15:00:00,Male,7.92,6,4,154.81,Monday,39
91,Scott Robinson,1,05:00:00,14:00:00,Female,5.21,5,5,582.37,Wednesday,6
92,Jeffery Rangel,3,06:00:00,15:00:00,Male,2.96,9,1,129.64,Friday,19
93,Joseph Kelly,1,13:00:00,22:00:00,Male,2.58,10,0,241.57,Sunday,33
94,Kimberly Adams,1,10:00:00,19:00:00,Male,1.91,8,2,288.08,Thursday,26
95,Katie Cook,3,05:00:00,14:00:00,Female,2.21,2,8,560.84,Friday,47
96,Matthew Smith,1,09:00:00,18:00:00,Male,2.05,8,2,285.3,Friday,49
97,Michael Lane,3,12:00:00,21:00:00,Female,2.47,2,8,472.76,Sunday,42
98,Adam Adams,3,10:00:00,19:00:00,Male,1.36,10,0,186.09,Monday,4
99,Shirley Watson,2,07:00:00,16:00:00,Male,7.31,9,1,468.36,Thursday,24
100,Philip Evans,1,08:00:00,17:00:00,Female,7.01,1,9,267.43,Wednesday,40
101,Matthew Gonzalez,1,05:00:00,14:00:00,Male,4.25,3,7,198.03,Saturday,21
102,Ryan Clark,2,09:00:00,18:00:00,Male,7.2,2,8,139.38,Saturday,45
103,Dawn French,1,10:00:00,19:00:00,Male,9.09,2,8,450.71,Monday,6
104,Bryce Nelson,3,08:00:00,17:00:00,Male,12.18,7,3,225.27,Monday,31
105,Joseph House,1,06:00:00,15:00:00,Female,1.76,9,1,353.81,Wednesday,35
106,Lisa Mann,1,13:00:00,22:00:00,Male,2.14,5,5,253.29,Sunday,44
107,Brandon Hall,1,06:00:00,15:00:00,Female,5.5,9,1,424.17,Thursday,35
108,Kevin Munoz,1,11:00:00,20:00:00,Male,2.97,10,0,477.36,Wednesday,16
109,Sandra Sanchez,3,15:00:00,00:00:00,Male,2.59,1,9,168.37,Friday,13
110,Zachary West,2,06:00:00,15:00:00,Female,1.04,2,8,236.9,Saturday,23
111,Steven Bauer,1,09:00:00,18:00:00,Female,3.04,3,7,315.69,Thursday,8
112,Nathan Ross PhD,1,11:00:00,20:00:00,Female,3.51,6,4,156.38,Saturday,43
113,Lisa Garcia,2,09:00:00,18:00:00,Female,2.88,7,3,462.94,Friday,33
114,Alexis Kaufman,2,06:00:00,15:00:00,Female,3.19,10,0,589.74,Wednesday,50
115,Kevin Parrish PhD,2,12:00:00,21:00:00,Male,3.94,10,0,153.56,Saturday,34
116,Karen Gray,2,08:00:00,17:00:00,Male,1.02,1,9,269.67,Wednesday,7
117,Gregory Peters,3,11:00:00,20:00:00,Female,3.08,5,5,252.88,Saturday,48
118,Timothy Johnson,2,11:00:00,20:00:00,Male,1.49,1,9,378.24,Monday,14
119,Ryan Jones,1,10:00:00,19:00:00,Female,22.23,10,0,546.68,Monday,10
120,Christopher White,1,14:00:00,23:00:00,Male,3.61,8,2,592.01,Tuesday,37
121,Todd Matthews,2,13:00:00,22:00:00,Male,3.12,1,9,547.91,Monday,32
122,Katie Bowers,2,11:00:00,20:00:00,Male,9.24,8,2,245.57,Tuesday,40
123,Glenda Russell,1,07:00:00,16:00:00,Female,1.21,2,8,122.96,Thursday,48
124,Mr. Paul Flores,3,10:00:00,19:00:00,Male,3.16,2,8,506.04,Monday,19
125,Jessica Wall,3,08:00:00,17:00:00,Female,2.37,5,5,556.09,Friday,32
126,David Randolph,1,13:00:00,22:00:00,Male,1.73,10,0,423.33,Saturday,38
127,Dennis White Jr.,2,09:00:00,18:00:00,Male,5.43,7,3,487.47,Friday,5
128,Michelle Marshall,2,11:00:00,20:00:00,Female,1.84,5,5,151.64,Thursday,46
129,Paul Brady,2,05:00:00,14:00:00,Male,1.24,5,5,191.39,Saturday,8
130,Cynthia Phillips,3,10:00:00,19:00:00,Female,7.82,3,7,585.03,Saturday,37
131,Margaret Walter,3,05:00:00,14:00:00,Female,2.09,6,4,474.52,Saturday,31
132,Meghan Brooks,2,10:00:00,19:00:00,Male,3.41,4,6,565.83,Tuesday,12
133,Dakota Graham,2,13:00:00,22:00:00,Male,1.02,10,0,589.91,Tuesday,18
134,Caitlin Gray,3,14:00:00,23:00:00,Male,1.31,7,3,548.25,Saturday,20
135,Kathryn Johnson,1,10:00:00,19:00:00,Female,6.35,8,2,157.3,Saturday,31
136,James Gonzalez,1,07:00:00,16:00:00,Female,2.11,6,4,350.53,Friday,50
137,Shannon Brown,3,11:00:00,20:00:00,Female,1.58,9,1,462.16,Wednesday,16
138,James Fox,1,12:00:00,21:00:00,Female,0.98,9,1,544.51,Saturday,6
139,Adam Brown,3,11:00:00,20:00:00,Male,1.45,2,8,232.65,Wednesday,18
140,Edwin Chen,3,10:00:00,19:00:00,Male,8.62,2,8,398.8,Wednesday,48
141,Robert Shelton,2,07:00:00,16:00:00,Female,1.23,9,1,170.97,Thursday,19
142,Jacqueline Savage,1,05:00:00,14:00:00,Male,1.32,5,5,582.98,Monday,11
143,Brianna Brown,1,09:00:00,18:00:00,Female,3.06,6,4,337.19,Wednesday,48
144,Daniel Coleman,3,13:00:00,22:00:00,Male,1.67,7,3,346.8,Tuesday,39
145,Jamie Johnson,2,11:00:00,20:00:00,Female,2.71,5,5,223.52,Sunday,9
146,Holly Long,1,06:00:00,15:00:00,Female,1.27,8,2,441.89,Tuesday,28
147,Katie Becker,1,12:00:00,21:00:00,Female,3.93,10,0,578.2,Thursday,49
148,Daniel Nielsen,1,08:00:00,17:00:00,Female,6.39,4,6,289.54,Wednesday,32
149,Jared Mason,1,06:00:00,15:00:00,Male,2.38,4,6,283.96,Tuesday,45
150,Anthony Ibarra,2,15:00:00,00:00:00,Male,1.03,1,9,348.21,Saturday,23
151,Haley Walker,1,05:00:00,14:00:00,Male,1.16,2,8,475.52,Wednesday,20
152,Robert Taylor,3,05:00:00,14:00:00,Female,0.91,4,6,444.83,Monday,12
153,Andrew Davidson,1,12:00:00,21:00:00,Male,0.65,4,6,575.66,Monday,29
154,Kristin Roberts,2,07:00:00,16:00:00,Female,0.83,2,8,185.05,Friday,22
155,Daniel Saunders,3,10:00:00,19:00:00,Female,1.28,10,0,357.71,Friday,25
156,Melissa Beck,2,09:00:00,18:00:00,Female,19.46,2,8,466.09,Monday,21
157,John Flowers,1,10:00:00,19:00:00,Female,7.61,7,3,112.95,Saturday,37
158,Brian Johnson,2,08:00:00,17:00:00,Male,1.86,2,8,213.33,Sunday,47
159,Jennifer Clark,2,12:00:00,21:00:00,Female,1.77,3,7,226.25,Sunday,40
160,Joe Griffin,2,11:00:00,20:00:00,Male,3.49,7,3,468.49,Sunday,45
161,Tammy Mendoza,2,14:00:00,23:00:00,Male,1.31,1,9,456.11,Friday,24
162,Jennifer Lyons,3,07:00:00,16:00:00,Female,0.97,8,2,421.53,Thursday,20
163,Micheal Morris,3,10:00:00,19:00:00,Male,3.31,1,9,181.37,Friday,25
164,Paul Moore,1,05:00:00,14:00:00,Male,1.3,8,2,291.27,Wednesday,19
165,Joseph Gomez,2,06:00:00,15:00:00,Female,1.33,5,5,461.8,Sunday,14
166,Stacy Salas,3,09:00:00,18:00:00,Male,2.27,6,4,397.85,Friday,15
167,Kyle Good,2,09:00:00,18:00:00,Female,2.37,8,2,383.24,Sunday,28
168,Raymond Thomas,1,10:00:00,19:00:00,Male,9.86,8,2,514.59,Tuesday,2
169,Jay Evans,1,14:00:00,23:00:00,Male,4.53,8,2,115.05,Monday,42
170,Kara Jones,3,12:00:00,21:00:00,Female,1.32,9,1,179.02,Friday,9
171,Patricia Perry,3,07:00:00,16:00:00,Male,0.72,7,3,206.88,Tuesday,25
172,Megan Stephens,1,08:00:00,17:00:00,Female,2.25,1,9,573.67,Tuesday,34
173,Calvin Mckee,3,11:00:00,20:00:00,Female,5.14,6,4,233.3,Monday,19
174,Roger Garcia,1,09:00:00,18:00:00,Female,2.09,3,7,320.49,Tuesday,50
175,Natalie Ortega,3,07:00:00,16:00:00,Male,1.87,9,1,328.4,Thursday,31
176,Noah Acevedo,3,07:00:00,16:00:00,Male,1.32,5,5,495.91,Sunday,32
177,Faith West,3,07:00:00,16:00:00,Female,8.89,8,2,599.1,Friday,20
178,John Rivers,1,13:00:00,22:00:00,Male,1.56,3,7,579.03,Wednesday,17
179,Emily Coleman,3,12:00:00,21:00:00,Female,15.33,1,9,533.29,Monday,30
180,Barbara Hernandez,3,12:00:00,21:00:00,Male,0.69,6,4,398.08,Wednesday,4
181,Connie Mendoza,1,10:00:00,19:00:00,Female,6.78,3,7,181.41,Thursday,47
182,Katie Peters,2,05:00:00,14:00:00,Female,8.18,8,2,279.06,Wednesday,49
183,Anthony Juarez,1,10:00:00,19:00:00,Female,1.78,4,6,556.65,Thursday,9
184,Sheila Hall,2,05:00:00,14:00:00,Male,1.56,8,2,155.63,Sunday,16
185,David Patton,1,12:00:00,21:00:00,Male,0.91,10,0,373.7,Friday,14
186,Kayla Young,2,09:00:00,18:00:00,Male,2.31,5,5,406.97,Thursday,9
187,Katrina Gardner,2,08:00:00,17:00:00,Male,1.13,6,4,369.56,Thursday,17
188,Adam James,2,12:00:00,21:00:00,Female,4.18,1,9,369.41,Thursday,11
189,Dave Smith,1,08:00:00,17:00:00,Female,9.02,8,2,245.21,Saturday,44
190,Stephanie Davis,2,10:00:00,19:00:00,Female,6.61,6,4,192.33,Wednesday,47
191,Erika Simmons,3,11:00:00,20:00:00,Male,1.42,5,5,323.15,Friday,1
192,Steven Mann,2,12:00:00,21:00:00,Female,0.68,1,9,132.19,Saturday,15
193,Michael Wheeler,1,08:00:00,17:00:00,Male,0.55,4,6,312.15,Thursday,24
194,Nathaniel Davis,3,12:00:00,21:00:00,Male,2.09,10,0,532.64,Friday,43
195,Melinda Weber,2,11:00:00,20:00:00,Male,3.55,5,5,320.59,Thursday,40
196,Mr. Daniel Underwood,2,15:00:00,00:00:00,Male,1.32,7,3,214.82,Saturday,10
197,Kristina Hutchinson,3,08:00:00,17:00:00,Female,6.99,9,1,254.15,Sunday,34
198,Elizabeth Mosley,3,13:00:00,22:00:00,Male,1.98,9,1,129.42,Wednesday,27
199,Danielle Davis,2,08:00:00,17:00:00,Male,2.49,5,5,588.15,Sunday,46
200,Robert Ortiz,3,12:00:00,21:00:00,Female,0.81,9,1,328.16,Tuesday,2
201,Michele Ramirez,3,07:00:00,16:00:00,Female,2.75,6,4,246.65,Thursday,45
202,Lisa Owens,3,06:00:00,15:00:00,Female,1.56,1,9,586.97,Tuesday,37
203,Lisa Coleman,2,11:00:00,20:00:00,Male,2.04,9,1,314.44,Thursday,31
204,John Moore,1,06:00:00,15:00:00,Male,1.03,6,4,233.38,Saturday,50
205,Erica Higgins,3,09:00:00,18:00:00,Female,1.42,7,3,297.1,Friday,39
206,Elizabeth Brown,1,06:00:00,15:00:00,Male,1.12,3,7,190.53,Friday,23
207,Jade Duran,3,11:00:00,20:00:00,Female,2.17,10,0,459.91,Wednesday,24
208,Logan Lucas,2,11:00:00,20:00:00,Female,6.75,7,3,401.41,Sunday,36
209,Kimberly Wilson,1,08:00:00,17:00:00,Female,1.98,1,9,320.65,Sunday,32
210,Mark Hamilton,2,11:00:00,20:00:00,Male,2.22,4,6,486.17,Monday,33
211,Jamie Reeves,2,06:00:00,15:00:00,Female,6.81,2,8,464.15,Monday,30
212,Amy Butler,3,09:00:00,18:00:00,Female,6.07,6,4,203.55,Thursday,43
213,Rebecca West,1,11:00:00,20:00:00,Female,1.64,2,8,257.33,Sunday,44
214,Steven Hendricks,3,12:00:00,21:00:00,Male,1.57,9,1,558.64,Wednesday,2
215,Thomas Wood PhD,2,07:00:00,16:00:00,Female,1.74,5,5,496.53,Saturday,1
216,Cindy Marshall,2,14:00:00,23:00:00,Male,9.78,10,0,331.07,Thursday,20
217,Adam Neal,2,12:00:00,21:00:00,Female,2.97,7,3,162.12,Thursday,42
218,Debbie Adams,1,06:00:00,15:00:00,Female,5.72,5,5,174.19,Saturday,13
219,Rachel Gordon,2,13:00:00,22:00:00,Male,1.22,1,9,286.04,Friday,45
220,Theresa Mccarty,3,09:00:00,18:00:00,Female,1.32,10,0,200.14,Tuesday,6
221,Robert Li,2,08:00:00,17:00:00,Female,8.23,10,0,405.02,Monday,2
222,Patrick Garrison,1,08:00:00,17:00:00,Female,2.03,7,3,425.68,Saturday,1
223,Robert Ramirez,2,14:00:00,23:00:00,Male,0.75,1,9,511.14,Wednesday,10
224,Reginald Delgado,3,12:00:00,21:00:00,Female,1.06,7,3,154.15,Friday,14
225,James Davis,1,14:00:00,23:00:00,Male,3.84,2,8,273.9,Friday,21
226,Brian May,2,08:00:00,17:00:00,Male,1.44,1,9,272.23,Wednesday,47
227,Kristen Brown,3,05:00:00,14:00:00,Male,26.51,8,2,152.01,Monday,10
228,Lance Flores,2,09:00:00,18:00:00,Female,1.86,6,4,250.41,Saturday,19
229,Joseph Jackson,1,06:00:00,15:00:00,Female,2.34,6,4,133.77,Wednesday,41
230,Dillon Morgan,1,05:00:00,14:00:00,Female,3.13,7,3,410.85,Sunday,26
231,Dennis Coleman,3,09:00:00,18:00:00,Female,7.81,3,7,242.39,Thursday,6
232,Tyler Barker,3,07:00:00,16:00:00,Female,7.48,3,7,379.03,Monday,9
233,Sonya Ross,3,11:00:00,20:00:00,Female,1.89,3,7,186.5,Thursday,17
234,Megan Ray,1,15:00:00,00:00:00,Male,3.5,7,3,299.68,Sunday,27
235,Dustin Roberts,1,12:00:00,21:00:00,Female,2.71,9,1,467.46,Tuesday,43
236,Timothy Bentley,1,06:00:00,15:00:00,Female,1.8,6,4,293.87,Monday,37
237,William Shields,1,10:00:00,19:00:00,Female,2.38,6,4,480.65,Friday,44
238,Taylor Kelly,1,10:00:00,19:00:00,Female,2.29,2,8,131.27,Sunday,35
239,Ronald Mccarty,2,09:00:00,18:00:00,Male,3.01,9,1,240.55,Tuesday,30
240,Kimberly Davis,1,10:00:00,19:00:00,Female,5.93,10,0,237.76,Thursday,8
241,Nicole Pruitt,2,12:00:00,21:00:00,Female,5.1,9,1,431.4,Thursday,13
242,Angela Forbes,1,08:00:00,17:00:00,Female,1.84,8,2,233.1,Tuesday,45
243,Jennifer Hart,2,05:00:00,14:00:00,Female,12.46,10,0,296.96,Saturday,17
244,Anthony Foster,1,14:00:00,23:00:00,Male,0.86,5,5,555.61,Saturday,20
245,Gabriela Barrett,3,08:00:00,17:00:00,Female,2.84,10,0,535.32,Monday,43
246,Joshua Reeves,1,10:00:00,19:00:00,Female,1.92,7,3,318.7,Wednesday,44
247,Mrs. Christine Hall,1,05:00:00,14:00:00,Male,1.17,6,4,230.83,Monday,37
248,David Tucker,3,14:00:00,23:00:00,Male,0.81,8,2,217.69,Wednesday,28
249,Dr. Richard Roberson,1,05:00:00,14:00:00,Male,1.76,4,6,460.59,Thursday,31
250,Gregory Nguyen,2,12:00:00,21:00:00,Female,2.9,6,4,595.2,Thursday,7
251,Monique Jones,3,09:00:00,18:00:00,Female,0.84,5,5,108.52,Sunday,14
252,Kayla Logan,3,15:00:00,00:00:00,Male,1.22,10,0,247.63,Monday,35
253,Jason Martinez,2,12:00:00,21:00:00,Male,1.29,6,4,298.51,Monday,33
254,Brian Henderson,2,10:00:00,19:00:00,Female,12.22,9,1,353.53,Friday,25
255,Cindy Donaldson,2,10:00:00,19:00:00,Male,1.63,9,1,593.26,Wednesday,29
256,Jared King,2,08:00:00,17:00:00,Female,0.97,2,8,314.17,Friday,1
257,Tami Wood,1,05:00:00,14:00:00,Female,1.19,1,9,187.97,Monday,1
258,Ryan Maddox,2,06:00:00,15:00:00,Female,2.39,3,7,395.9,Sunday,34
259,Randall Mccarty,3,06:00:00,15:00:00,Female,2.23,5,5,328.26,Wednesday,30
260,Andrew Duncan,1,07:00:00,16:00:00,Female,2.51,10,0,493.33,Tuesday,37
261,Sarah Myers,2,08:00:00,17:00:00,Male,0.83,7,3,283.1,Friday,26
262,Larry Watson,1,07:00:00,16:00:00,Female,0.98,7,3,559.35,Sunday,21
263,Michael Watts,3,07:00:00,16:00:00,Female,2.13,8,2,219.5,Friday,50
264,Dave Sullivan,2,12:00:00,21:00:00,Female,2.21,8,2,268.82,Tuesday,32
265,Lauren Williams,3,10:00:00,19:00:00,Male,4.38,3,7,350.37,Monday,45
266,Morgan Flores,1,12:00:00,21:00:00,Female,1.67,4,6,416.75,Wednesday,31
267,Jamie Watkins,2,08:00:00,17:00:00,Male,1.31,8,2,578.8,Tuesday,8
268,Kyle Porter,2,07:00:00,16:00:00,Female,3.58,4,6,379.88,Sunday,10
269,Shawn Poole,3,07:00:00,16:00:00,Male,2.28,6,4,556.29,Sunday,48
270,Latasha Freeman,1,10:00:00,19:00:00,Female,1.19,9,1,556.59,Wednesday,24
271,Natasha Johnson,2,12:00:00,21:00:00,Female,3.81,1,9,242.32,Saturday,30
272,Ryan Dean,3,14:00:00,23:00:00,Male,21.64,10,0,292.72,Friday,45
273,Karen Mcgee,1,11:00:00,20:00:00,Female,1.76,6,4,187.64,Thursday,1
274,Justin Figueroa,2,06:00:00,15:00:00,Female,1.81,7,3,213.18,Monday,50
275,Cassandra Bush,1,09:00:00,18:00:00,Female,4.71,8,2,476.98,Tuesday,18
276,Anna Barber,2,10:00:00,19:00:00,Female,1.61,5,5,356.07,Tuesday,43
277,Rebecca Sheppard,1,10:00:00,19:00:00,Female,1.16,7,3,560.33,Wednesday,45
278,Monica Turner,2,05:00:00,14:00:00,Male,1.32,1,9,127.42,Thursday,48
279,Ernest Phillips,3,11:00:00,20:00:00,Female,3.83,8,2,166.41,Wednesday,17
280,David Alexander,3,08:00:00,17:00:00,Female,0.82,4,6,391.67,Wednesday,6
281,James Gonzalez,1,10:00:00,19:00:00,Female,3.62,2,8,514.26,Friday,35
282,Julie Cunningham,3,09:00:00,18:00:00,Female,0.76,7,3,509.38,Tuesday,8
283,Catherine Taylor,3,07:00:00,16:00:00,Female,0.88,6,4,431.11,Sunday,21
284,Traci Davidson,2,06:00:00,15:00:00,Female,5.39,1,9,350.37,Monday,48
285,Derrick Sanders,3,12:00:00,21:00:00,Male,6.6,3,7,212.03,Tuesday,47
286,Christina Robinson,2,09:00:00,18:00:00,Female,3.64,10,0,360.69,Friday,26
287,Steven Burns,2,05:00:00,14:00:00,Female,4.08,9,1,533.9,Friday,11
288,Kyle Ward,1,06:00:00,15:00:00,Female,1.45,8,2,178.17,Friday,41
289,Theresa Reed,1,06:00:00,15:00:00,Male,0.71,1,9,506.09,Saturday,7
290,James Robinson,1,11:00:00,20:00:00,Female,1.76,8,2,169.99,Monday,20
291,Jared Benson,3,06:00:00,15:00:00,Female,3.52,1,9,552.65,Saturday,38
292,Robert Thompson,1,11:00:00,20:00:00,Female,3.87,3,7,596.53,Monday,6
293,Anita Miller,3,10:00:00,19:00:00,Male,12.15,10,0,592.01,Monday,33
294,Tanya Bullock,1,09:00:00,18:00:00,Female,1.17,6,4,260.43,Wednesday,2
295,Juan Garcia,1,09:00:00,18:00:00,Male,1.62,1,9,306.21,Friday,19
296,James Frederick,1,12:00:00,21:00:00,Female,3.11,1,9,445.1,Tuesday,38
297,Raymond Fox,2,12:00:00,21:00:00,Female,3.68,5,5,203.53,Saturday,10
298,Christina Lang,1,10:00:00,19:00:00,Female,0.63,7,3,387.61,Tuesday,12
299,Susan Randall,3,10:00:00,19:00:00,Female,2.05,7,3,185.77,Friday,49
